date,day,name,warmup,cooldown,restDetails,description
2026-07-02,Qui,Corrida Regen + Bike,null,null,null,"8km @ 08:00 (7,5 km/h) [Entrada Direta]. 45min Giro Livre indolor."
2026-07-03,Sex,DESCANSO ABSOLUTO,null,null,null,OFF.
2026-07-04,Sáb,Corrida Leve + Musculação C,null,null,null,"5km @ 07:20 (8,2 km/h) [Entrada Direta]. Ficha C (Posterior + Core)."
2026-07-05,Dom,Longão Taper 1,null,null,null,"16km @ 06:50 (8,8 km/h)."
2026-07-06,Seg,DESCANSO ABSOLUTO,null,null,null,OFF.
2026-07-07,Ter,Cruzeiro Final + Musculação B,"2.0 km @ 6,5 km/h","1.5 km @ 4,5 km/h","2'00"" Ativo (Esteira a 3.0 km/h)","3x2km @ 06:10 (9,7 km/h). Ficha B (Anterior + Core)."
2026-07-08,Qua,Corrida Leve + Musculação A,null,null,null,"7km @ 07:15 (8,3 km/h) [Entrada Direta]. Ficha A (Membros Inferiores)."
2026-07-09,Qui,Corrida Regen + Bike,null,null,null,"6km @ 08:00 (7,5 km/h) [Entrada Direta]. 40min Giro Livre indolor."
2026-07-10,Sex a Sáb,Polimento Final ProCoach,null,null,null,Semanas de Taper (Manutenção curta em Z2). Ficha de Musculação Leve.
2026-07-26,Dom,NIKE SP CITY MARATHON,Mobilidade,Caminhada,FOCO SUB 2h20,"21,097 km @ Meta 06:30 (9,2 km/h). Prova Alvo P1!"
