Data,Dia,Atividade,AQ,Principal,DQ,Repouso,Musc,Bike
10/06/2026,Qua,Corrida Leve + Musculação A,"1km @ 6,5 km/h","10km @ 07:05 (8,5 km/h)","1km @ 4,5 km/h",-,A,-
11/06/2026,Qui,Corrida Regen + Bike,-,"8km @ 08:00 (7,5 km/h)",-,-,-,55min Giro Livre
12/06/2026,Sex,DESCANSO ABSOLUTO,-,OFF,-,-,-,-
13/06/2026,Sáb,Corrida Leve + Musculação C,-,"5km @ 07:20 (8,2 km/h)",-,-,C,-
14/06/2026,Dom,Longão Regenerativo,-,"12km @ 07:15 (8,3 km/h)",-,-,-,-
15/06/2026,Seg,DESCANSO ABSOLUTO,-,OFF,-,-,-,-
16/06/2026,Ter,Volume Tiros + Musculação B,"2km @ 6,5 km/h","10x400m @ 05:40 (10,6 km/h)","1,5km @ 4,5 km/h",Passivo (Pé ao lado),B,-
17/06/2026,Qua,Corrida Leve + Musculação A,"1km @ 6,5 km/h","12km @ 07:05 (8,5 km/h)","1km @ 4,5 km/h",-,A,-
18/06/2026,Qui,Corrida Regen + Bike,-,"9km @ 08:00 (7,5 km/h)",-,-,-,60min Giro Livre
19/06/2026,Sex,DESCANSO ABSOLUTO,-,OFF,-,-,-,-
20/06/2026,Sáb,Corrida Leve + Musculação C,-,"6km @ 07:20 (8,2 km/h)",-,-,C,-
21/06/2026,Dom,Longão Volume Especial,-,"18km @ 06:45 (8,9 km/h)",-,-,-,-
22/06/2026,Seg,DESCANSO ABSOLUTO,-,OFF,-,-,-,-
23/06/2026,Ter,Limiar II + Musculação B,"2km @ 6,5 km/h","5x1km @ 05:50 (10,3 km/h)","1,5km @ 4,5 km/h","Ativo (Esteira a 3,0 km/h)",B,-
24/06/2026,Qua,Corrida Leve + Musculação A,"1km @ 6,5 km/h","12km @ 07:00 (8,6 km/h)","1km @ 4,5 km/h",-,A,-
25/06/2026,Qui,Corrida Regen + Bike,-,"10km @ 08:00 (7,5 km/h)",-,-,-,60min Giro Livre
26/06/2026,Sex,DESCANSO ABSOLUTO,-,OFF,-,-,-,-
27/06/2026,Sáb,Corrida Leve + Musculação C,-,"5km @ 07:20 (8,2 km/h)",-,-,C,-
28/06/2026,Dom,Longão Ápice,-,"20km @ 06:45 &rarr; final 06:30 (9,2 km/h)",-,-,-,-
29/06/2026,Seg,DESCANSO ABSOLUTO,-,OFF,-,-,-,-
30/06/2026,Ter,Tiros de Ajuste + Musculação B,"2km @ 6,5 km/h","8x400m @ 05:45 (10,4 km/h)","1,5km @ 4,5 km/h",Passivo (Pé ao lado),B,-
01/07/2026,Qua,Corrida Leve + Musculação A,"1km @ 6,5 km/h","10km @ 07:05 (8,5 km/h)","1km @ 4,5 km/h",-,A,-
02/07/2026,Qui,Corrida Regen + Bike,-,"8km @ 08:00 (7,5 km/h)",-,-,-,45min Giro Livre
03/07/2026,Sex,DESCANSO ABSOLUTO,-,OFF,-,-,-,-
04/07/2026,Sáb,Corrida Leve + Musculação C,-,"5km @ 07:20 (8,2 km/h)",-,-,C,-
05/07/2026,Dom,Longão Taper 1,-,"16km @ 06:50 (8,8 km/h)",-,-,-,-
06/07/2026,Seg,DESCANSO ABSOLUTO,-,OFF,-,-,-,-
07/07/2026,Ter,Cruzeiro Final + Musculação B,"2km @ 6,5 km/h","3x2km @ 06:10 (9,7 km/h)","1,5km @ 4,5 km/h","Ativo (Esteira a 3,0 km/h)",B,-
08/07/2026,Qua,Corrida Leve + Musculação A,"1km @ 6,5 km/h","8km @ 07:15 (8,3 km/h)","1km @ 4,5 km/h",-,A,-
09/07/2026,Qui,Corrida Regen + Bike,-,"6km @ 08:00 (7,5 km/h)",-,-,-,40min Giro Livre
10/07/2026,Sex,DESCANSO ABSOLUTO,-,OFF,-,-,-,-
11/07 a 25/07,Vários,Polimento e Redução Progressiva,-,Rodagens leves de manutenção (30-40 min em Z2),-,-,Manutenção leve,-
26/07/2026,Dom,PROVA ALVO: NIKE SP CITY MARATHON,1km Mobilidade,"21,097 km @ Meta 06:30 (9,2 km/h)",Caminhada,FOCO SUB 2h20,-,-
