DATA,DIA,FASE,STATUS,WARMUP,CORRIDA (SÉRIE LÍQUIDA),COOLDOWN,INTERVALOS,ACADEMIA,BIKE
2026-06-27,Sáb,Fase 3: Ápice,TRANSITION,,"5km @ 07:20 (8,2 km/h)",,,Ficha C (Posterior + Core),
2026-06-28,Dom,Fase 3: Ápice,ENDURANCE,,20km @ 06:45 final 06:30,,,,
2026-06-29,Seg,Fase 3: Ápice,LOCKED,,OFF,,,,
2026-06-30,Ter,Fase 3: Ápice,QUALITY,2.0 km @ 6.5 km/h,"8x400m @ 10,4 km/h",1.5 km @ 4.5 km/h,"1'00"" Passivo (Pés lateral)",Ficha B (Anterior + Core),
2026-07-01,Qua,Fase 3: Ápice,EASY,,"8km @ 07:05 (8,5 km/h)",,,Ficha A (Inferiores),
2026-07-02,Qui,Fase 3: Ápice,RECOVERY,,"8km @ 07:50 (7,5 km/h)",,,,45min Giro Livre indolor
2026-07-03,Sex,Fase 3: Ápice,LOCKED,,OFF,,,,
2026-07-04,Sáb,Fase 3: Ápice,TRANSITION,,"5km @ 07:20 (8,2 km/h)",,,Ficha C (Posterior + Core),
2026-07-05,Dom,Fase 3: Ápice,ENDURANCE,,"16km @ 06:50 (8,8 km/h)",,,,
2026-07-06,Seg,Fase 4: Taper,LOCKED,,OFF,,,,
2026-07-07,Ter,Fase 4: Taper,QUALITY,"2.0 km @ 6,5 km/h","3x2km @ 9,7 km/h (Pace 06:10)","1.5 km @ 4,5 km/h","2'00"" Ativo @ 3,0 km/h",Ficha B (Anterior + Core),
2026-07-08,Qua,Fase 4: Taper,EASY,,"7km @ 07:15 (8,3 km/h)",,,Ficha A (Inferiores),
2026-07-09,Qui,Fase 4: Taper,RECOVERY,,"6km @ 08:00 (7,5 km/h)",,,,40min Giro Livre indolor
2026-07-10,Sex,Fase 4: Taper,LOCKED,,OFF,,,,
2026-07-11,Sáb,Fase 4: Taper,TRANSITION,,"5km @ 07:30 (8,0 km/h)",,,Ficha C (Carga Leve),
2026-07-12,Dom,Fase 4: Taper,ENDURANCE,,"14km @ 06:50 (8,8 km/h)",,,,
2026-07-13,Seg,Fase 4: Taper,LOCKED,,OFF,,,,
2026-07-14,Ter,Fase 4: Taper,QUALITY,"1.5 km @ 6,5 km/h","4x800m @ 9,7 km/h (Pace 06:10)","1.0 km @ 4,5 km/h","1'30"" Passivo",Ficha B (Só Ativação),
2026-07-15,Qua,Fase 4: Taper,EASY,,"6km @ 07:15 (8,3 km/h)",,,Ficha A (Carga Leve),
2026-07-16,Qui,Fase 4: Taper,RECOVERY,,"5km @ 08:00 (7,5 km/h)",,,,30min Giro Regenerativo
2026-07-17,Sex,Fase 4: Taper,LOCKED,,OFF,,,,
2026-07-18,Sáb,Fase 4: Taper,TRANSITION,,"5km @ 07:20 (8,2 km/h)",,,Ficha C (Mob. + Core),
2026-07-19,Dom,Fase 4: Taper,ENDURANCE,,"10km @ 07:00 (8,6 km/h)",,,,
2026-07-20,Seg,F3: Clínica,RED ZONE,,OFF,,,,
2026-07-21,Ter,F5: Nutrição,NUTRITION,"1.0 km @ 6,5 km/h","3x200m @ 10,6 km/h","1.0 km @ 4,5 km/h","1'00"" Passivo",Mob. e Core Leve,
2026-07-22,Qua,F5: Nutrição,NUTRITION,,"4km @ 07:30 (8,0 km/h)",,,,
2026-07-23,Qui,F5: Nutrição,NUTRITION,,OFF,,,,
2026-07-24,Sex,F5: Nutrição,NUTRITION,,OFF,,,,
2026-07-25,Sáb,F2: Tática,TÁTICA,,"2km @ 07:30 (8,0 km/h)",,,,
2026-07-26,Dom,F2: Prova,GOAL,,"21,097 km @ Meta 06:30-06:40",,FOCO SUB 2h20,,
